Référence;Adresse;Surface (m²);Compte;Propriétaire
790174264 I0440;   PRES DE PIED POUZIN SUD 79500 MELLE;1740;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AB0006;   LE BOURG DE ST LEGER LES M 79500 MELLE;1449;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AB0007;   LE BOURG DE ST LEGER LES M 79500 MELLE;1512;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AB0017;   LE BOURG DE ST LEGER LES M 79500 MELLE;6525;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AB0020;   LE BOURG DE ST LEGER LES M 79500 MELLE;1705;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AB0024;   LE BOURG DE ST LEGER LES M 79500 MELLE;1398;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AB0025;   LE BOURG DE ST LEGER LES M 79500 MELLE;826;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AB0052;0001  RUE DE LA MAIRIE ST LEGER 79500 MELLE;760;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AB0113;   LE BOURG DE ST LEGER LES M 79500 MELLE;1166;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AB0153;0004  CHE DES TALLES ST LEGER 79500 MELLE;1465;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AB0184;   LE BOURG DE ST LEGER LES M 79500 MELLE;11982;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AB0199;   LE BOURG DE ST LEGER LES M 79500 MELLE;1684;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AB0201;   LE BOURG DE ST LEGER LES M 79500 MELLE;1073;+00451; COMMUNE DE SAINT LEGER DE LA MARTINIERE   79500 MELLE 
790174264AC0086;0005  IMP DU FEU 79500 MELLE;1487;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174264AC0087;0005  IMP DU FEU 79500 MELLE;1110;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174264AC0088;0005  IMP DU FEU 79500 MELLE;3592;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174264AC0098;   LE PINIER 79500 MELLE;29388;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AC0103;   LE PINIER 79500 MELLE;3168;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AD0062;   CHAMPS DU BOURG 79500 MELLE;2033;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AD0116;   CHAMPS DU BOURG 79500 MELLE;833;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AD0137;0002  RUE DE LA PIECE 79500 MELLE;1193;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AD0146;   CHAMPS DU BOURG 79500 MELLE;1718;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AD0155;0005  RUE DE LA VIGNE 79500 MELLE;2564;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AD0157;0002  RUE DE LA PIECE 79500 MELLE;1661;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AE0008;   GACHET 79500 MELLE;7788;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AE0046;   BOIS DE LA ROCHE 79500 MELLE;3582;+00451; COMMUNE DE SAINT LEGER DE LA MARTINIERE   79500 MELLE 
790174264AH0009;   L USINE 79500 MELLE;1555;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AH0010;   L USINE 79500 MELLE;1404;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AH0119;   L USINE 79500 MELLE;1486;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AN0001;   LA GROUSSARDIERE 79500 MELLE;1192;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264AN0027;   LA MARTINIERE 79500 MELLE;969;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZB0008;   LA PLAINE DE VAUGAUDON 79500 MELLE;8600;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZB0014;   LA PLAINE DE VAUGAUDON 79500 MELLE;4662;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZD0007;   TERRES DU HAUT BIGNON 79500 MELLE;820;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZD0014;   FONTARNAUD 79500 MELLE;2380;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZD0040;   GRAND PRE NEUF 79500 MELLE;840;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZE0041;   LA PLAINE DU BREUIL 79500 MELLE;1340;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZH0012;   LA SAUZEE 79500 MELLE;1450;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZH0064;   LA PLAINE DU GRAND CHEMIN 79500 MELLE;4295;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZK0017;   LES BRANDEAUX 79500 MELLE;1001;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZK0018;   LES BRANDEAUX 79500 MELLE;1760;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZK0029;   LES CHAMPS DE L HOMME 79500 MELLE;1730;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZK0034;   LES PARENTIERES 79500 MELLE;1344;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZK0037;   LES PARENTIERES 79500 MELLE;16746;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZK0043;   LA RIVIERE DE L ENCLAVE 79500 MELLE;1264;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZL0020;   LES NOUES 79500 MELLE;1217;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZL0027;   L EPINASSE 79500 MELLE;1996;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZL0039;   L EPINASSE 79500 MELLE;1721;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZM0005;   LA VERGNE ST LEGER 79500 MELLE;1491;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZM0006;   FONTEILLE 79500 MELLE;2041;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZM0011;   FONTEILLE 79500 MELLE;5470;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZM0012;   FONTEILLE 79500 MELLE;1289;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZM0049;   LES PRES DE LA FRAGNEE 79500 MELLE;3784;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZM0064;   LES PLANIS DE L ENCLAVE 79500 MELLE;6827;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZM0069;   LES CHAMPS DE LA CHAUME 79500 MELLE;879;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZM0075;   LES CHAMPS DE LA CHAUME 79500 MELLE;15997;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZM0079;   LE PROTIER 79500 MELLE;843;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZM0093;   LES SABLONS 79500 MELLE;1781;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZM0121;   LA GRIMAUDIERE 79500 MELLE;1275;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZM0131;   LES PLANIS DE L ENCLAVE 79500 MELLE;5875;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZM0137;   FONTEILLE 79500 MELLE;15547;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZN0007;   LES BRUERAUX 79500 MELLE;9435;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZN0030;   LES MAYOLLIERES 79500 MELLE;863;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZN0050;   LES PLANS DE CHATENET 79500 MELLE;2207;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZO0002;   LES CHAMPS DU MOULIN 79500 MELLE;1056;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZO0003;   LES CHAMPS DU MOULIN 79500 MELLE;2330;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZO0016;   LES TOUCHES 79500 MELLE;7922;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZO0030;   LE BROUSSARD 79500 MELLE;818;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZO0032;   LE BROUSSARD 79500 MELLE;6215;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZO0037;   LE BROUSSARD 79500 MELLE;1831;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZO0057;   LE CRAPAUD 79500 MELLE;16481;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZO0062;   LES CHAUMETTES 79500 MELLE;879;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZO0086;   LES CHETIFS PRES 79500 MELLE;843;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZO0100;   L ERPINIERE 79500 MELLE;1107;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZR0018;   LES PATUREAUX NORD ST LEGE 79500 MELLE;1968;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZR0023;   TERRES DE PIED GUILLON 79500 MELLE;3778;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZR0032;   PIED GUILLON 79500 MELLE;1381;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZR0037;   PIED GUILLON 79500 MELLE;1045;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZR0039;   PIED GUILLON 79500 MELLE;7467;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZR0041;   PIED GUILLON 79500 MELLE;754;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZR0055;   LES PRES PERSONNIERE 79500 MELLE;3323;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZR0056;   LES PRES PERSONNIERE 79500 MELLE;903;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZR0060;   BOIS DE LA CURE 79500 MELLE;829;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZR0066;   PRE DES PLACES 79500 MELLE;1006;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZR0070;   PRE DES PLACES 79500 MELLE;2453;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZR0071;   PRE DES PLACES 79500 MELLE;1199;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZR0073;   PRE DES PLACES 79500 MELLE;2054;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZR0084;   PRE DES PLACES 79500 MELLE;794;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZR0089;   PRE DES PLACES 79500 MELLE;2836;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZR0091;   PIED GUILLON 79500 MELLE;980;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZR0114;   CHAMPS DES BOIS DE MELLE 79500 MELLE;1156;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZS0016;   LES FOUGERES 79500 MELLE;863;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZS0040;   LA PLAINE DU GRAND CHEMIN 79500 MELLE;1665;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZT0013;   LA TERRIERE 79500 MELLE;1286;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZT0023;   LA CRENESSIERE 79500 MELLE;950;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZV0005;   LES CHAMPS DE MAREUIL 79500 MELLE;1882;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZV0008;   L EPINE 79500 MELLE;2191;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZV0014;   L EPINE 79500 MELLE;1597;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZV0018;   LA GRANDE VALLETTIERE 79500 MELLE;2280;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZV0021;   LA GRANDE VALLETTIERE 79500 MELLE;8262;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZW0008;   LES CHAMPS DE MAREUIL 79500 MELLE;866;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZW0011;   LES EPINARDS 79500 MELLE;1690;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZW0013;   LES EPINARDS 79500 MELLE;1017;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZW0015;   LES EPINARDS 79500 MELLE;17581;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZW0016;   LES EPINARDS 79500 MELLE;7834;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZW0018;   LES EPINARDS 79500 MELLE;2330;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZW0021;   LES EPINARDS 79500 MELLE;816;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZW0039;   LES CHAMPS DES EPINARDS 79500 MELLE;915;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZW0080;   LES EPINARDS 79500 MELLE;2119;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZW0095;   LES CHAMPS DE L EPINE 79500 MELLE;6244;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZX0017;   LES CHAMPS CARTIERS 79500 MELLE;1379;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZY0027;   LA PLAINE DU MILIEU 79500 MELLE;1789;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174264ZY0032;   LA PLAINE DU MILIEU 79500 MELLE;1775;+00202; COMMUNE DE SAINT LEGER DE LA MARTINIERE LE BOURG ST LEGER  79500 MELLE 
790174279 A0065;   LA FAITIVERE 79500 MELLE;28005;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279 A0182;   LA NEGRERIE 79500 MELLE;900;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279 A0232;   LA GAZONNIERE 79500 MELLE;13980;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279 A0330;   LA GAZONNIERE 79500 MELLE;10661;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279 A0469;   LA GAZONNIERE 79500 MELLE;11174;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279 A0557;   LA NEGRERIE 79500 MELLE;1078;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279 A0562;   LE BOUCHET DU NAC 79500 MELLE;8122;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279 A0567;   LA NEGRERIE 79500 MELLE;1099;+00436; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279 B0518;   CHATEAU DE CHAILLE 79500 MELLE;8465;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279 B0541;   CHATEAU DE CHAILLE 79500 MELLE;3374;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279 B0542;   CHATEAU DE CHAILLE 79500 MELLE;3524;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279 B0558;   CHATEAU DE CHAILLE 79500 MELLE;3485;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279 B0560;   CHATEAU DE CHAILLE 79500 MELLE;1253;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279 C0284;   LES BOIS HAUTS 79500 MELLE;2500;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279 C0285;   LES BOIS HAUTS 79500 MELLE;3497;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AB0056;0021  RUE DE L'ECOLE 79500 MELLE;2563;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AB0060;   CHATEAU DE CHAILLE 79500 MELLE;2721;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AB0114;   CHATEAU DE CHAILLE 79500 MELLE;11780;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AB0136;   LOT DE L'ARGENTIERE 79500 MELLE;2229;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AB0139;   LOT DE L'ARGENTIERE 79500 MELLE;1810;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AB0140;   LOT DE L'ARGENTIERE 79500 MELLE;1204;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AB0196;0015  RUE DES FRENES ST MARTIN 79500 MELLE;762;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AB0218;0010  RUE DE LA MAIRIE ST MARTIN 79500 MELLE;859;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AC0082;   LE PETIT BOIS 79500 MELLE;5853;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AC0084;   LE PETIT BOIS 79500 MELLE;3905;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AC0132;   LES BOIS HAUTS 79500 MELLE;953;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AD0035;   LES SEINCES POTES 79500 MELLE;884;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AD0069;   LE BOURG ST MARTIN 79500 MELLE;760;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AD0070;   LE BOURG ST MARTIN 79500 MELLE;6583;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AD0075;   LE BOURG ST MARTIN 79500 MELLE;15973;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AD0076;0042  RUE DE LA MAIRIE ST MARTIN 79500 MELLE;4764;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AD0079;0036  RUE DE LA MAIRIE ST MARTIN 79500 MELLE;2633;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AD0084;   LES MAISONS NEUVES 79500 MELLE;1818;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AD0086;   LES MAISONS NEUVES 79500 MELLE;1157;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AE0013;   LA GENELERIE 79500 MELLE;1497;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AE0014;0037  RUE DE LA MAIRIE ST MARTIN 79500 MELLE;956;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AE0015;0037  RUE DE LA MAIRIE ST MARTIN 79500 MELLE;1656;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AE0016;   LA GENELERIE 79500 MELLE;1820;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AE0017;   LA GENELERIE 79500 MELLE;10438;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AE0026;   LA GENELERIE 79500 MELLE;72501;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AE0027;   LA GENELERIE 79500 MELLE;1473;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AE0028;   LA GENELERIE 79500 MELLE;3334;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174279AE0034;0043  RUE DE LA MAIRIE ST MARTIN 79500 MELLE;11532;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
