Référence;Adresse;Surface (m²);Compte;Propriétaire
790174   AI0563;9002  RUE FOSSEMAGNE 79500 MELLE;13815;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AI0620;   LA MALADRIE 79500 MELLE;9859;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AI0636;9006  PL RENE GROUSSARD 79500 MELLE;1230;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AI0706;   CENTRE VILLE 79500 MELLE;1123;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AI0761;9006  PL DE STRASBOURG 79500 MELLE;796;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AI0765;   CENTRE VILLE 79500 MELLE;821;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AI0791;9004  RUE DES REMPARTS 79500 MELLE;1604;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AK0060;   FIEF CHOLLET 79500 MELLE;910;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AK0091;   PRES DE BEAUSOLEIL 79500 MELLE;4372;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AK0098;   PRES DE BEAUSOLEIL 79500 MELLE;1168;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AK0108;   PRES DE BEAUSOLEIL 79500 MELLE;7816;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AL0017;   LOUBEAU NORD 79500 MELLE;29140;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AL0034;   LA NOBLETTE 79500 MELLE;7566;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AL0180;   LOUBEAU 79500 MELLE;2752;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AL0212;   LOUBEAU 79500 MELLE;1363;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AL0217;   LOUBEAU NORD 79500 MELLE;1258;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AL0224;0005  RUE DE LA NOBLETTE 79500 MELLE;3870;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AM0113;   CHAMP DE L HOPITAL 79500 MELLE;4510;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AM0114;   CHAMP DE L HOPITAL 79500 MELLE;2987;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AM0116;   CHAMP DE L HOPITAL 79500 MELLE;4598;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AM0260;   SAINT HILAIRE 79500 MELLE;1546;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AM0268;   SAINT HILAIRE 79500 MELLE;1674;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AM0271;   SAINT HILAIRE 79500 MELLE;970;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AM0277;   CHAMP LOUBEAU 79500 MELLE;1593;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
